Samples	78_15	89_39	29_8	53_51	37_4	67_56	39_61	83_1	20_14	12_40	9_52	47_54	30_70	75_75	15_9	79_11	42_49	95_64	38_68	34_69	27_28	2_3	94_7	24_10	90_45	70_13	44_59	54_66	7_72	28_47	4_19	77_5	50_20	84_32	64_43	43_48	14_22	25_55	40_74	17_57	32_58	23_60	73_67	93_73
Cystamine	1.45494169	0.1424873	0.5527291	0.23757849	0.95586533	0.14986442	0.19430855	0.41455008	0.07258	0.48727828	0.31194494	0.23207213	0.61455764	0.07768349	0.66024301	0.4529871	0.46560749	0.90346809	0.51281328	0.78711926	0.4175579	0.82811009	0.58690762	0.81447833	3.02537688	2.38841602	3.32313358	2.57003979	0.79009522	0.76201781	2.13604766	3.42712402	0.64149716	1.70201375	1.21294427	3.00765806	2.49917078	0.78817793	0.65559405	0.60887586	1.42272678	2.14412374	1.139384	1.56264445
Cysteamine	0.83281795	0.49879557	0.38535419	0.06292086	0.80060844	0.54773749	0.08152565	8.31268137	0.65725619	0.47115727	0.6331496	0.31862845	0.2101416	0.56148755	0.03001054	0.62253948	0.62007221	1.12733741	1.00747906	0.71773586	1.9966748	2.86290245	0.655661	1.71744737	3.31745678	5.30256875	1.18141838	2.51953654	0.56418385	1.8502854	0.87734	2.37879152	0.8331571	1.35421805	0.70585745	0.77584898	1.15545522	0.53528692	1.13671029	0.40768041	0.88968591	3.07657662	1.59550919	0.48135901
Cytidine	0.5969931	0.15454286	0.59829764	0.14568715	0.42542236	1.2159621	0.10465527	0.08355147	0.09399784	0.68203319	0.26316073	0.17450793	0.10576454	0.60170861	0.23889756	2.66441373	0.27779137	0.26217193	0.78764248	3.66233392	1.12899487	1.57936262	1.7740654	3.78846684	2.95534661	5.0928836	3.5187533	2.99308875	1.64254651	0.81002169	2.05850324	0.78270751	0.8056054	3.01805892	0.62040847	0.12403864	1.03314184	0.99354789	0.94731556	0.43067896	2.39051247	1.70480928	0.86276301	0.94902023
Cytosine	0.63399076	0.12542817	0.5563235	0.20690002	0.37004189	1.15120524	0.1128061	0.09943925	0.1336008	0.64683536	0.27542979	0.22392168	0.14467219	0.5836267	0.2445049	2.42146013	0.35004542	0.34960965	0.79944019	3.30844613	1.07064062	1.64039643	1.73654996	3.27706045	2.85802933	4.95768783	3.09033999	2.50852549	1.55947463	0.79021627	2.03121524	0.69555688	0.84297878	3.08291055	0.63068444	0.15301595	1.03194515	0.97014137	1.00224159	0.44876063	2.21527762	1.65049224	0.92288021	0.85516431
Histamine	0.8671318	3.7210819	0.5366464	0.4219021	0.8370726	0.9911617	0.3947937	1.25286	0.5093321	0.5451305	0.6702497	0.3954126	0.5451731	0.6054936	0.5213586	0.5798464	0.9549766	0.7368133	0.5490779	0.5695408	0.5371991	0.770047	0.7068925	0.7516908	1.1030713	0.4705785	0.5568663	0.380359	0.4455382	0.4385605	0.9379106	0.5971857	0.4647147	0.388539	0.3824392	0.5219353	0.442434	0.4512317	0.7614146	0.6929921	0.5424124	0.4461329	1.5138512	0.2485049
Ornithine	2.0918766	2.2491712	0.5436808	0.8790689	0.6657794	1.1099393	0.401159	0.4053167	0.6053605	0.5304141	0.3489283	0.6259838	0.3321543	0.245646	0.7950332	0.7936927	0.5190638	1.3243119	0.5290777	0.774138	1.5773431	3.0120116	1.4906756	1.4600502	3.3228691	2.4980696	2.6846012	1.7398642	0.7576833	1.5381522	1.2770052	1.6392899	0.9212827	2.0596483	2.2790757	0.7984213	0.5611336	1.0366534	0.6712245	1.3819356	2.1804678	2.327259	1.0503599	1.4357211
Serotonin	0.7999272	0.5746468	0.4959809	0.7779759	0.4524277	0.3543441	0.5970706	1.2429016	0.5067832	0.7104189	1.0100556	0.3515067	0.3470924	0.3126363	0.4214293	0.7880281	1.4216546	1.5304085	1.5272006	0.9447356	1.4681116	2.9298693	0.9643013	7.5332503	2.6856645	1.9956023	1.32354	2.1412138	0.7291771	1.0311733	0.4552006	1.7093938	1.4752376	2.1800073	1.6834813	1.0974969	0.8320851	1.7896367	0.6780271	0.7449354	1.2028462	1.1505045	2.4280705	0.820618
Spermine	2.1760621	1.8944174	1.3282735	1.0442483	1.6775293	1.1867756	0.5297104	0.7725327	0.8962008	0.6519439	0.7934984	0.6741572	0.9475168	0.4350648	0.5531867	1.1967719	0.4243726	1.3145846	0.6301581	0.7482905	0.5204335	1.5357995	1.6156671	1.454502	2.0794181	1.675151	1.342273	2.055707	0.9703901	0.6461578	2.0386804	7.3832281	0.932741	1.4389941	0.6104402	0.7846951	0.6276215	1.0584868	0.6363066	0.652427	1.5369584	1.7175999	0.6509362	1.2950126
Thyroxine	1.1144466	1.2901895	0.7262898	0.3086082	0.8164472	1.3585231	0.5152986	0.411683	0.3925034	0.9703644	0.6516951	0.855667	0.5991148	0.6233992	0.1960689	1.7720685	2.3706238	2.9258663	0.7392986	1.4018596	0.9806604	0.8610421	1.5805576	1.3967399	1.7453083	1.6894015	3.0817111	2.2918312	1.0041053	1.1655399	1.5167026	3.792193	1.0775139	1.9946696	1.5268564	0.9579448	1.2092431	2.5400293	0.9399886	1.2129322	0.9489441	0.4764069	0.9793097	1.0121953
trans-4-hydroxyproline	1.1494905	0.8299503	1.1892959	1.1162266	1.0792974	1.1177213	1.0857586	1.201373	1.165353	0.9624946	0.9335323	1.1142596	1.213923	1.0737373	1.3063609	1.0485823	1.0645654	1.1510046	1.1373216	1.0868888	1.138418	1.2029912	1.0317572	0.9398685	1.0997062	0.9605761	1.0561906	0.8996673	1.1656956	1.1325322	0.7866541	0.9271926	0.9300574	0.9468052	1.2355619	1.4752588	1.1334376	1.0133486	1.1132692	1.0116879	1.0599896	0.9002244	1.2506711	0.8351074
