Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Cohort]	Term Source REF	Term Accession Number
NM-10	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	NM-10	healthy controls (HC)		
NM-11	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	NM-11	healthy controls (HC)		
NM-12	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	NM-12	healthy controls (HC)		
NM-13	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	NM-13	healthy controls (HC)		
NM-14	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	NM-14	healthy controls (HC)		
NM-15	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	NM-15	healthy controls (HC)		
NM-16	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	NM-16	healthy controls (HC)		
NM-17	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	NM-17	healthy controls (HC)		
NM-18	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	NM-18	healthy controls (HC)		
NM-19	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	NM-19	healthy controls (HC)		
NM-20	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	NM-20	healthy controls (HC)		
NM-21	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	NM-21	healthy controls (HC)		
NM-22	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	NM-22	healthy controls (HC)		
NM-23	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	NM-23	healthy controls (HC)		
NM-24	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	NM-24	healthy controls (HC)		
PN-2	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PN-2	HF without depression (HF-NDS)		
PN-3	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PN-3	HF without depression (HF-NDS)		
PN-5	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PN-5	HF without depression (HF-NDS)		
PN-6	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PN-6	HF without depression (HF-NDS)		
PN-7	Homo sapiens	NCBITAXON	http://purl.obolibrary.org/obo/NCBITaxon_9606	feces	BTO	http://purl.obolibrary.org/obo/BTO_0000440				experimental sample	CHMO	http://purl.obolibrary.org/obo/CHMO_0002746	Sample collection	PN-7	HF without depression (HF-NDS)		
