heart_cond	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF	HF
studyID	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2	D2
sampleID	C10	C10	C11	C11	C14	C14	C15	C15	C16	C16	C18	C18	C19	C19	C20	C20	C21	C21	C22	C22	C23	C23	C24	C24	HF01	HF01	HF02	HF02	HF03	HF03	HF04	HF04	HF05	HF05	HF06	HF06	HF07	HF07	HF09	HF09	HF12	HF12	HF13	HF13	HF17	HF17
studyID	D2_SALIVA	D2_EBC	D2_EBC	D2_SALIVA	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_EBC	D2_SALIVA	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_EBC	D2_EBC	D2_SALIVA	D2_EBC	D2_SALIVA	D2_SALIVA	D2_EBC	D2_EBC	D2_SALIVA
O-Phosphocholine	12.4	 0.0	 0.0	10.7	 9.1	 0.0	 5.5	 0.0	14.6	 0.0	 6.9	 0.0	 6.6	 0.0	 7.4	 0.0	 5.5	 0.0	 6.3	 0.0	12.9	 0.0	 0.0	16.5	 4.1	 0.0	21.5	 0.0	 8.8	 0.0	17.3	 0.0	14.6	 0.0	15.1	 0.0	27.8	 0.0	 0.0	30.0	 0.0	14.9	10.5	 0.0	 0.0	43.7
Acetone	12.7	 0.0	 0.8	11.8	18.7	 0.0	 6.6	 0.7	15.7	 1.7	14.3	 4.3	34.9	 2.0	11.8	 1.6	27.0	 0.0	 9.9	 1.6	10.2	 1.6	 1.9	15.4	20.6	 1.1	66.8	 0.9	29.4	 0.6	13.8	 0.0	20.9	 0.8	51.7	 0.9	 7.2	 0.0	 0.9	 9.4	 1.9	12.9	32.7	 1.8	 1.0	18.7
Sucrose	 14.3	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	 14.3	  0.0	  0.0	  0.0	 21.2	  0.0	 61.1	  0.0	  0.0	  0.0	  0.0	  0.0	 10.7	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	  0.0	 36.9	  0.0	 46.2	  0.0	  0.0	367.1	  0.0	  0.0	 11.3	  0.0	  0.0	  0.0
Phenylalanine	16.0	 0.0	 0.0	27.8	 4.7	 0.0	 9.6	 0.0	24.8	 0.0	 9.4	 0.0	 7.4	 0.0	 6.1	 0.0	 0.0	 0.0	 9.1	 0.0	16.8	 0.0	 0.0	40.4	38.8	 0.0	74.5	 0.0	10.2	 0.0	25.9	 0.0	31.1	 0.0	13.5	 0.0	50.9	 0.0	 0.0	33.3	 0.0	15.7	 7.4	 0.0	 0.0	47.9
Dimethyl sulfone	 17.3	  0.0	  0.0	  6.9	 16.8	  0.0	 10.2	  0.0	 23.9	  0.0	 17.9	  0.0	 22.8	  0.0	 11.6	  0.0	394.1	  0.0	  9.6	  0.0	 20.4	  0.0	  0.0	 17.3	  9.1	  0.0	 25.9	  0.0	 34.1	  0.0	 23.7	  0.0	 10.2	  0.0	 21.5	  0.0	 53.9	  0.0	  0.0	 18.2	  0.0	 16.8	 23.7	  0.0	  0.0	  4.1
Creatine	18.2	 0.0	 0.0	14.0	10.7	 0.0	 7.7	 0.0	30.0	 0.0	11.6	 0.0	 8.8	 0.0	 9.6	 0.0	12.4	 0.0	 6.6	 0.0	13.8	 0.0	 0.0	59.4	 4.7	 0.0	22.8	 0.0	17.6	 0.0	16.8	 0.0	15.7	 0.0	21.2	 0.0	26.7	 0.0	 0.0	36.6	 0.0	10.7	35.8	 0.0	 0.0	25.9
Acetoin	 19.5	  0.0	  0.0	 37.1	 13.2	  0.0	  5.2	  0.0	 37.4	  0.0	 11.0	  0.0	  5.0	  0.0	 11.8	  0.0	  4.7	  0.0	  8.8	  0.0	  7.7	  0.0	  0.0	 42.1	 16.5	  0.0	 89.4	  0.0	  3.3	  0.0	 11.8	  0.0	  8.8	  0.0	 12.4	  0.0	 16.2	  0.0	  0.0	577.0	  0.0	 18.7	  0.6	  0.0	  0.0	 29.7
Lactate	 455.1	  19.9	   7.0	  61.9	 245.6	   0.0	 152.9	   6.9	 471.4	   4.0	 128.4	  43.2	 101.5	   7.6	 396.8	   4.0	 206.3	  91.2	 341.8	   4.4	 360.0	   5.2	 141.1	 694.1	  48.1	   4.3	 141.4	   3.3	 212.3	   3.1	 271.7	  10.6	 263.7	  49.7	 693.8	  20.4	1591.2	   5.7	   3.2	6357.7	   4.4	 202.1	 517.3	   4.2	  11.3	  13.2
Butyrate	 64.6	  0.0	  0.0	118.8	 12.9	  0.0	 58.6	  0.0	  9.6	  0.0	 85.5	  0.0	 26.7	  0.0	 33.0	  0.0	  8.0	  0.0	 18.2	  0.0	  6.1	  0.0	  0.0	 41.3	 53.4	  0.0	 95.4	  0.0	 26.1	  0.0	 12.9	  0.0	 84.7	  0.0	 28.1	  0.0	115.8	  0.0	  0.0	  3.6	  0.0	  8.8	  2.2	  0.0	  0.0	  0.0
Formate	 530.2	  25.8	  24.2	  13.5	 207.6	  45.5	 349.0	  22.6	1614.8	  55.7	 241.5	  59.0	 149.6	  19.3	 153.7	  17.0	  54.7	  44.5	 115.5	  51.1	 143.0	  26.3	  48.9	 214.2	 118.3	  36.2	 231.3	  19.5	  30.3	  19.7	 702.1	  53.6	 172.4	  26.6	 285.7	  17.1	3189.5	  27.5	  17.0	 535.2	  21.9	  29.7	  25.9	  18.7	   0.0	  13.2
