heart_cond	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	CTRL	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-WD	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS	HF-NDS
studyID	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1	D1
sampleID	NM-1	NM-10	NM-11	NM-12	NM-13	NM-14	NM-15	NM-16	NM-17	NM-18	NM-19	NM-2	NM-20	NM-21	NM-22	NM-23	NM-24	NM-3	NM-4	NM-5	NM-6	NM-7	NM-8	NM-9	PD-1	PD-10	PD-11	PD-12	PD-13	PD-14	PD-15	PD-16	PD-17	PD-18	PD-19	PD-2	PD-20	PD-3	PD-4	PD-5	PD-6	PD-7	PD-8	PD-9	PN-10	PN-11	PN-12	PN-13	PN-14	PN-15	PN-16	PN-17	PN-18	PN-19	PN-2	PN-20	PN-3	PN-5	PN-6	PN-7	PN-8	PN-9	RD-1	RD-10	RD-11	RD-12	RD-13	RD-14	RD-15	RD-17	RD-18	RD-19	RD-2	RD-4	RD-5	RD-6	RD-8	RN-1	RN-10	RN-12	RN-13	RN-14	RN-15	RN-16	RN-17	RN-18	RN-19	RN-20	RN-21	RN-3	RN-4	RN-5	RN-6	RN-7	RN-8
Erythritol	0.000325301	0.000275546	0.000657399	0.001110661	0.001082852	0.00080171	0.0005995	0.000326842	0.001421364	0.0003714	0.000516552	0.00064208	0.000399564	0.001018401	0.000745144	0.001084314	0.00085684	0.000619534	0.000508951	0.00021506	0.000609662	0.000550243	0.000926765	0.000596708	0.000492426	0.00036972	0.000280092	0.000397998	0.000259377	0.000411526	0.000429316	0.000384784	0.000434424	0.000326361	0.000258352	0.000343918	0.000389055	0.00052258	0.000492051	0.000323342	0.000328308	0.000459065	0.00039152	0.000281693	0.000304808	0.000503031	0.000359299	0.000478424	0.000344951	0.000526142	0.000484343	0.000597561	0.000411263	0.000542154	0.000377902	0.000363374	0.000477342	0.000401129	0.000261936	0.000321485	0.000393425	0.000287075	0.000499402	0.001185451	0.000564667	0.000612157	0.000513129	0.000946538	0.001322834	0.001072793	0.000776491	0.000707256	0.000486539	0.000530504	0.000482284	0.000454275	0.000733055	0.000787656	0.000107139	0.001653808	0.000978449	0.000809289	0.000734423	0.000736994	0.000594431	0.000511508	0.000714453	0.000600836	0.000567156	0.000738486	0.000603153	0.000562765	0.000815022	0.000691428	0.00045939
Amidosulfonic acid	0.000330357	0.002216854	0.00037099	0.004838977	0.005015187	0.003097469	0.00260522	0.00183134	0.00166367	0.000526241	0.000536475	0.002210544	0.000290567	0.001417073	0.000417969	0.001120987	0.001061602	0.001246549	0.001572352	0.00322538	0.000826307	0.002628139	0.001062006	0.001317682	0.003842894	0.000872188	0.001175342	0.002042481	0.001847677	0.00079079	0.000729667	0.000523901	0.00148523	0.004423453	0.000824591	0.002510239	0.004556426	0.001669605	0.003711691	0.001418995	0.001927827	0.001298074	0.000451338	0.001884357	0.000809307	0.000423695	0.000550436	0.000633759	0.000529245	0.0007951	0.000548532	0.002427909	0.002327268	0.002274772	0.001173629	0.014330873	0.000462929	0.000277618	0.001378855	0.001030955	0.001149806	0.003561535	0.00160117	0.000214487	0.000617484	0.000279324	0.000484176	0.000248717	0.001644717	0.000946882	0.000662962	0.000574732	0.001153987	0.001478444	0.000807383	0.000565644	0.000363753	0.000615886	0.001342385	0.000838769	0.001397488	0.000508113	0.002187389	0.000714436	0.000871802	0.000831756	0.000978378	0.000843466	0.00040464	0.000515338	0.000705493	0.000524548	0.001062458	0.000491442	0.000992026
2-hydroxycaproic acid	0.000335972	0.00169364	0.000276633	0.002033686	0.004171546	0.002880043	0.001801213	0.001150066	0.011508186	0.000899346	0.000241722	0.007015536	0.000317072	0.00149199	0.001231079	0.000304107	0.000356999	0.000398785	0.000705651	0.001474899	0.000421406	0.002159079	0.002835522	0.001412021	0.00029172	0.001190293	0.000515205	0.001105019	0.002140039	0.005057818	0.00136701	0.001421549	0.000393172	0.000555749	0.000260622	0.000885398	0.000465746	0.002994947	0.0028514	0.003757277	0.002250852	0.001813005	0.000263957	0.000862208	0.001644757	0.002436862	0.002413637	0.000804445	0.000160661	0.001446779	0.000150675	0.001053218	0.014271135	0.000355992	0.000451768	0.000821662	0.000340781	0.000520756	0.000363503	0.000936146	0.00146291	0.001163707	0.002749663	0.010232235	0.000924546	0.000855648	0.012537186	0.000855783	0.001502932	0.004605168	0.000593184	0.000553211	0.002693002	0.00113823	0.004581075	0.000244448	0.010007585	0.000595563	0.001095391	0.000166021	0.000700682	0.000837979	0.000653397	0.000931059	0.001673268	0.001642433	0.002439156	0.000274125	0.002527816	0.000684618	0.000568884	0.028762085	0.00069496	0.028562713	0.001409636
Trimethoprim	0.000357166	0.008095552	0.000289816	0.006340615	8.0072e-05	0.095158531	0.000994376	0.121474961	0.003262368	0.024173062	0.018437576	0.000251294	0.025624424	0.002135391	0.016371227	0.01486686	0.01873032	0.002715224	0.000148308	0.001371735	0.001208007	0.001070788	0.000752706	0.120613879	0.010902222	0.017370958	0.002092751	0.012515605	0.004033078	0.017674566	0.011948469	0.016263356	0.115723855	0.003535817	0.057322279	0.075899453	0.152487799	0.31001019	0.18989651	0.033060161	0.020696837	0.003347795	0.015372299	0.121043654	0.005867732	0.212178517	0.199052534	0.064772407	0.006042234	0.036380775	0.008525279	0.01849988	0.022226089	0.013712554	0.012521575	0.126823908	0.018577191	0.021908204	0.034590316	0.066047588	0.080057955	0.009293503	0.197773906	0.017625725	0.005498785	0.008809668	0.001817825	0.009824228	0.132758404	0.005169169	0.024554334	0.001813132	0.009633983	0.047251624	0.002900861	0.029437661	0.022722165	0.014558907	0.142430717	0.005121299	0.023986071	0.000437217	0.030603285	0.000620565	0.017858509	0.017630593	0.000842148	0.018443588	0.003140499	0.007702941	0.007764666	7.81537e-05	0.003214907	0.000214501	0.007157239
Aconitic acid	0.000359629	0.00111767	0.000746482	0.002919371	0.003014308	0.002586992	0.001309053	0.001475643	0.003529808	0.001352625	0.001577008	0.003383751	0.001396939	0.003266103	0.002878784	0.003154595	0.002713261	0.002903052	0.002229623	0.000715335	0.001733553	0.002372787	0.002145708	0.002436099	0.001483379	0.000773413	0.000749549	0.001228411	0.001246902	0.000879587	0.000947478	0.000702606	0.001199244	0.001089189	0.00120753	0.001297665	0.001182616	0.000999535	0.00109403	0.000771773	0.000822396	0.000934869	0.000894636	0.000703377	0.001298606	0.00195569	0.001381501	0.001175783	0.001064771	0.001136628	0.001636129	0.001362993	0.001632259	0.001330821	0.000852305	0.001458415	0.00107693	0.0007208	0.001488527	0.00140281	0.001327546	0.001333013	0.002619429	0.002539371	0.001931111	0.001753131	0.001972496	0.002312602	0.002849272	0.001574778	0.001727959	0.001737092	0.001700533	0.001786392	0.001434146	0.0015219	0.002082477	0.001890449	0.003516877	0.001857074	0.002066969	0.001231803	0.002583588	0.00178843	0.002118587	0.002195492	0.002086267	0.001847782	0.002411299	0.001657629	0.002531852	0.00147108	0.001872368	0.001655805	0.002444255
Kynurenic acid	0.000360184	0.000664472	0.000526657	3.50803e-05	0.000426124	0.001044623	0.000473833	0.000582528	0.000695997	0.001031415	0.00011163	0.001081729	0.000732138	0.000595234	0.001484157	0.000653771	0.00075509	0.001027914	0.000808399	0.000611008	0.000598102	0.00033272	0.00017918	0.000691819	0.000528873	0.000528268	0.000252663	0.000648547	0.000399273	0.000508096	0.000511262	0.000465165	0.000693705	0.00047346	0.000403891	0.000801639	0.000590425	0.000482219	0.001135666	0.000459085	0.000833277	0.000621524	0.000487144	0.000952892	0.000695405	0.000447455	0.000665291	0.000151322	0.000389682	0.003215413	0.000519346	0.000708844	0.002812674	0.000200591	0.000384449	0.00046218	0.000459102	0.000453465	0.00080694	0.000551662	0.000569267	0.000803562	0.000507917	0.000396335	0.000354253	0.000248419	0.000743959	0.000223564	0.000516321	0.00024833	0.000606042	0.000275665	0.000550626	0.00419168	0.000544969	0.001704292	0.000339651	0.000383529	0.0003678	0.000198842	0.00031127	0.000349806	0.000366466	0.000257044	0.000978683	0.001052414	0.000510309	0.000251024	0.00041471	0.000467081	0.001075085	0.000212244	0.00058443	0.000213941	0.000627617
Leucinic acid	0.000363216	0.006149627	0.000585263	0.007920391	0.047321435	0.003117627	0.002303068	0.00283524	0.091369785	0.001296582	0.000476844	0.011817642	0.000400261	0.003603335	0.001624031	0.000433298	0.000641676	0.000730154	0.000744297	0.001860578	0.000471675	0.002584341	0.022119088	0.003593674	0.000346157	0.003202135	0.000836319	0.002977992	0.006028486	0.017173131	0.001799843	0.002023019	0.000881227	0.000873651	0.000628937	0.000725303	0.001410618	0.005418789	0.003098444	0.05030888	0.002455303	0.002168929	0.000306755	0.000644627	0.002671527	0.003213947	0.003062113	0.000645394	0.000785221	0.001431111	0.00102189	0.00092845	0.054755289	0.000554982	0.002252109	0.001113434	0.00047657	0.00073895	0.000445976	0.002522303	0.001815091	0.001300496	0.009096856	0.009386874	0.002023486	0.000839377	0.026238622	0.000822394	0.00182281	0.011216881	0.000878187	0.000757506	0.019087528	0.004490591	0.007622686	0.000603836	0.009283093	0.001864403	0.034223774	0.000507639	0.001933607	0.002958291	0.002274065	0.002531607	0.001658694	0.001589752	0.005093513	0.000328897	0.004321974	0.000981854	0.000675247	0.032390947	0.000784519	0.032018123	0.002844538
Glycyl tyrosine	0.000369054	0.30992813	1.13337e-05	0.000375269	0.002767293	0.001147855	0.000246568	0.011565669	0.00217475	0.00022671	0.005214908	6.42946e-05	0.001804144	0.001738692	0.000506223	0.002636883	0.001097038	0.000853987	0.000271336	0.000391481	6.81294e-05	0.000144828	0.004514756	8.88137e-05	0.005868408	0.002084818	0.001372164	0.001398061	0.001425966	0.003150285	0.001005128	0.000624088	0.002238958	0.001104146	0.00125085	0.0006851	0.003964833	0.004820212	0.001782106	0.006318229	0.000941213	0.002203238	0.006497518	0.000258453	0.002732638	0.000411656	0.000724901	1.79287e-05	0.001358563	0.005004736	0.001111465	0.001502498	0.005894696	0.002463902	0.01091602	0.001631469	0.003155989	0.001570583	0.000569872	0.005379155	0.001902064	0.000810879	0.000658629	0.001544082	0.002099404	0.000744765	0.007264756	0.001939187	0.00045378	0.000248994	0.001497222	0.00081234	0.004426179	0.000958422	0.000938123	0.002607092	0.001577595	0.00039452	0.005035522	0.002971419	0.000883933	0.001940117	0.000709791	0.001564171	0.00089016	0.000626013	0.002405731	0.000791004	0.000418256	0.002667438	0.001145128	0.000113122	0.000888273	0.000337843	0.010447467
Linolenic acid	0.000375691	0.001769163	0.000156031	0.001637911	0.000646638	0.00083829	0.000549604	0.000325721	0.000340659	0.000186836	0.000453467	0.000641448	0.000296847	2.20388e-05	0.000285219	0.00054452	0.000410714	0.000328568	0.000298969	0.000571081	0.000235382	0.00081247	0.000373156	8.60129e-05	0.000376422	0.000285849	7.69725e-05	0.000219147	0.001012442	0.00101778	0.000557186	0.000599446	0.000257592	0.000194008	0.000674966	0.000522932	0.000449144	0.000512142	0.000305155	0.000861183	0.000210622	0.000234663	0.00054947	0.000416512	0.000489264	0.000477502	0.000306261	0.00046412	0.000232099	0.00021733	0.000304325	0.00046596	0.000192918	0.000169619	0.000296324	0.000628569	6.95021e-05	0.000644018	0.000648834	0.000704604	0.000256436	0.000790988	0.000216553	2.48406e-05	0.000276307	0.000393772	0.000487468	0.000186729	0.00081586	0.000359627	0.000111326	0.000529353	0.000530013	0.000310301	0.000321701	0.000114238	0.000172795	0.000184537	0.000494114	0.00017976	0.000202089	0.000265686	0.000361344	0.000135135	0.000354092	0.000272448	0.002683837	0.000341619	0.000272057	0.000204125	0.000304054	0.000350506	0.000404895	0.000143043	0.000642901
N-methylalanine	0.000378761	0.003468472	0.000358449	0.031303339	0.000126932	0.000801001	0.00145562	0.000861595	0.012887503	0.000924946	0.003756076	0.008284497	0.001359609	0.000956912	0.057510722	0.003213186	0.01569931	0.002277861	0.010296146	0.001726349	0.000917503	0.006902035	0.012820034	0.00277529	0.008273398	0.005772833	0.005748051	0.00321509	0.030304153	0.010446866	0.017968424	0.021980427	0.002588284	0.00556349	0.01183932	0.004919809	0.022308649	0.017260704	0.008692078	0.011294506	0.00226028	0.04621001	0.007406037	0.009388116	0.055774739	0.014512999	0.011960968	0.012675621	0.023741553	0.002512822	0.016208719	0.011918543	0.001764403	0.000756594	0.003942797	0.065582194	0.002621424	0.012292457	0.063525638	0.026234509	0.004299666	0.028707289	0.005080255	0.000103317	0.002870105	0.006495531	0.007412949	0.00085591	0.001007222	0.000758727	0.040460587	0.004858669	0.008290868	0.013346761	0.001502891	0.00357289	0.00021041	0.023983473	0.004939218	0.001103569	0.018017114	0.000985749	0.01434006	0.000469509	0.043739265	0.045883925	0.011782402	0.011124255	0.00324183	0.015268745	0.047926272	0.000394306	0.02175645	0.000310455	0.004358487
1-monoolein	0.000381959	0.000345719	0.000647209	0.000570333	0.001682147	0.000760325	0.000530436	0.000759778	0.000340574	0.00058423	0.000115962	0.000284121	0.000462991	0.000474391	0.000426011	6.11158e-05	0.000882954	0.000114624	0.000552076	0.000287029	0.000484728	0.000323851	2.82395e-05	0.00060555	7.22266e-05	0.000277107	0.000930894	0.000192401	0.000309169	0.000225912	0.00019202	0.000210303	6.84059e-05	0.000308205	0.000332508	0.000342348	6.07098e-05	0.000772508	0.000709074	0.003349264	0.000630315	0.000968618	8.22742e-05	0.000372881	8.26579e-05	0.0008151	0.000273474	0.000340385	0.000209206	0.000443671	0.000302562	2.60078e-05	0.000268041	0.000302721	0.003847165	8.00278e-05	0.000129153	0.000246957	0.000352927	0.001081542	0.000444874	0.000523067	0.000707046	3.91094e-05	0.000504345	0.00039421	0.000153235	0.000300379	0.000374025	5.69154e-05	0.000627992	0.000473139	0.000762773	0.000137519	0.00063855	0.000396229	0.000289602	0.000380511	5.04161e-05	0.00014478	0.00013207	0.000277393	0.000121363	0.000505318	0.000606115	0.000496029	0.000376913	7.97668e-05	0.000163335	0.000337508	0.000175604	0.000767755	0.000110981	0.001249824	8.7241e-05
6(5h)-benzo[c]phenanthridinone, 11,12-dihydro-	0.000385114	0.0002605	0.000262207	0.001156156	0.000659302	0.00082179	0.000279796	0.000702169	0.000913434	0.000223201	0.000162732	0.051659254	0.000129306	8.96627e-06	0.000374254	7.31735e-05	0.000211379	0.022266167	0.001100477	0.000210464	0.00039407	0.000394825	0.00132725	0.000951044	9.01542e-05	0.000156375	0.000771667	0.000229807	9.93089e-05	9.35501e-05	0.000267471	0.00029654	0.000614829	5.19293e-06	0.001042265	0.000404924	0.00516689	0.00168372	0.019766632	0.002221787	0.000243518	0.000512087	0.000174672	0.000282147	0.003182457	1.76243e-05	8.74682e-05	0.000212193	8.17011e-05	0.003059957	0.000120519	0.001490918	0.000580103	9.66134e-05	0.000157668	0.00028974	0.000346195	0.000222845	0.000307043	0.000399257	0.001412306	0.000371397	0.000377068	0.000212391	0.000890633	0.000321372	0.003226688	0.000406727	7.36925e-05	5.64916e-05	1.01559e-05	0.000373137	0.000154196	0.002619388	0.0002577	0.000158906	0.000121384	0.000120527	0.000179282	0.000193804	6.38867e-05	0.004575356	3.08513e-05	0.006142474	0.000428418	0.000367165	4.5074e-05	0.000446526	0.000206513	0.000999477	0.000399812	0.00052496	6.12383e-05	0.000669767	3.01489e-05
Uridine 5'-monophosphate	0.000405424	0.000154079	0.000372565	0.000188209	8.30052e-05	0.000477099	0.000126543	0.000261057	0.000156749	2.44317e-05	0.000140598	0.000238426	0.000334735	0.000203056	9.42676e-05	4.77968e-05	0.000429881	0.000153314	0.000712397	5.2953e-05	0.000664138	3.3484e-05	8.47955e-05	0.000101051	0.000282404	0.000179275	0.000319768	0.000135856	9.28721e-05	0.000493789	0.001440016	0.001459396	0.000570842	0.000236217	0.000825114	0.001571414	0.000101103	0.000280001	0.000981803	3.05163e-05	8.72516e-05	0.000252109	0.000261595	0.001482915	0.000929412	0.000192132	0.000238678	0.000163295	4.57125e-05	0.000565278	0.000122708	6.7238e-05	0.001362459	0.000118303	0.000373339	5.86215e-05	0.000111607	0.000878483	0.000172598	2.87005e-05	0.000434917	4.24719e-05	4.83998e-05	0.000214009	8.55082e-05	0.000114873	0.000207237	1.9525e-05	0.000347713	0.000190008	0.001067679	0.000136736	0.000122149	0.000169726	0.000147088	0.000363231	0.000198265	9.72503e-05	4.86493e-05	9.29724e-05	6.28988e-05	0.000925697	7.29461e-05	0.001074226	0.00024091	0.000261087	0.000371216	0.000271904	8.48807e-05	8.1404e-05	3.86558e-05	0.000203956	0.000143192	0.000215279	0.000158542
3,4-dihydroxyphenylacetic acid	0.000424482	0.001019438	0.000605023	0.001438088	0.0158265	0.001058357	0.073714995	0.001364072	0.036981537	0.00137956	0.01582148	0.004269371	0.003363491	0.000966782	0.001577246	0.017107443	0.003706499	0.022657638	0.000618594	0.071935562	0.000763776	0.076365678	0.048495788	0.001121032	0.000896361	0.000439369	0.006337883	0.00039437	0.009535495	0.000255605	0.000245689	0.000296567	0.000403206	0.000847748	0.000489625	0.000378187	0.005088893	0.000404729	0.000568178	0.005728222	0.000504418	0.000576809	0.000748768	0.000167737	0.000925667	0.000951362	0.00024901	0.000368619	0.000272774	0.000559934	0.000523703	0.00044139	0.000380154	0.000524736	0.00018863	0.026613047	0.000519146	0.00163925	0.000480012	0.000290318	0.000445927	0.010383464	0.000628546	0.0055912	0.000409008	0.000272729	0.028711708	0.00062802	0.00173388	0.011230228	0.000541274	0.021365146	0.001150424	0.049045903	0.000462021	0.00061058	0.005292	0.000766705	0.000745669	0.007417253	0.000820062	0.000412179	0.001032899	0.000445824	0.000582296	0.000545594	0.003117844	0.000672098	0.000746798	0.000460955	0.000699728	0.003476866	0.000627696	0.003451086	0.087565287
O-acetylserine	0.000425619	0.003107261	0.000438179	0.003737568	0.001480698	0.003001967	0.000347968	0.001662881	0.002250469	0.000483406	0.000394876	0.006674481	0.000491866	0.001035771	0.000473005	0.000288918	0.000593688	0.004698551	0.00122168	0.000290149	0.000716202	0.00037998	0.000475014	0.002153754	0.000790401	0.001408568	0.000994293	0.001256873	0.000666154	0.000330932	0.000865844	0.000936437	0.00058957	0.00144987	0.000388075	0.000670631	0.001062735	0.001377363	0.005319921	0.009427335	0.00305516	0.003210655	0.001219839	0.000883242	0.000875673	0.000796939	0.000843118	0.000640626	0.000703591	0.000476613	0.000638377	0.000269926	0.000630652	0.001124285	0.001143006	0.000932874	0.000815585	0.000705854	0.002772184	0.001501691	0.000576543	0.003032983	0.001446164	0.00224288	0.000743917	0.003725312	0.001881406	0.003346669	0.000464129	0.001477807	0.004449549	0.000946952	0.000365459	0.01399837	0.001397062	0.001533856	0.002602235	0.000927062	0.000334498	0.000575799	0.000503392	0.001694527	0.000547923	0.00207683	0.001066543	0.00198234	0.000537851	0.001263151	0.001036117	0.000333956	0.000611417	0.000552503	7.03219e-05	0.000687798	0.000251321
Butorphanol	0.000429195	0.000473461	0.000783295	0.000517224	0.000464949	5.18767e-05	0.000457403	0.002371308	5.1689e-05	0.000135282	0.001642501	0.000482038	0.000461808	0.000455051	0.000144415	0.000620325	0.000472079	2.75823e-05	0.001146701	0.000197566	0.000273239	2.54052e-05	0.000330619	0.003081328	0.000607759	0.000382844	0.000103229	0.000474856	0.002238447	0.000511981	0.000188023	0.000402757	0.000377373	0.000399697	0.002359169	0.000134275	0.000848652	0.000204114	0.000391223	0.000320243	0.000280211	0.0005456	0.000787013	0.000118666	0.000200996	0.000232505	0.000264275	6.78326e-05	0.000682463	0.000297821	0.00052461	0.000747836	0.009332893	0.001278688	0.000191295	0.000276437	0.000321832	0.001709961	0.000229187	0.000204226	0.000401652	0.00035406	0.0009089	0.000327805	0.000213442	0.000307279	0.000359937	0.000311211	0.000494004	0.000365077	0.000225068	9.12195e-05	0.000351331	3.22818e-05	5.69304e-05	0.000196608	0.000399799	0.000747785	0.000125304	0.000288473	2.21813e-05	0.000375365	0.000257854	0.000301426	0.000537643	0.000118997	0.000169077	0.000531751	1.25526e-05	0.000124787	0.000177587	0.000187705	0.000373918	0.00015387	0.00069509
3,5,5-trimethyl-3-phenyl-1-hydroxy-cyclohexene	0.000433346	0.000880492	0.000382416	0.001161286	0.176608429	0.000674836	0.112096981	0.000370686	0.001064257	0.000592476	0.353676744	0.001097566	0.172142992	0.00069628	0.000757575	0.415406211	0.216868681	0.000969896	0.000102292	0.110268333	0.000737351	0.137323494	0.001263395	0.0002986	0.00110622	0.000770288	0.000731193	0.000789346	0.000477486	0.000198436	0.000151397	7.55255e-05	8.3438e-05	0.000482861	0.000336234	0.000317055	6.77143e-05	0.001474258	0.000170606	0.017887491	0.000533212	0.000673531	0.000929454	0.000275691	0.000273142	0.00056792	0.000488503	0.000169054	0.000481492	0.000284835	0.000490231	0.632561285	0.002530953	0.000353045	0.000244938	0.097970049	0.000183291	0.000724019	0.000136045	0.000959389	0.000177541	0.00024248	0.001169864	0.002253983	0.000399903	0.000460739	0.000811607	0.00060028	0.000627774	0.038956567	0.000227807	0.001207705	0.014993315	0.000677702	0.000649267	0.000203811	0.00187505	0.000152586	0.000130328	0.002063543	0.000370145	0.000518414	0.000470022	0.000663121	0.000650874	0.000675066	0.00025429	0.000410367	0.046525212	0.000642119	0.000392992	0.003640324	0.000213376	0.003590559	0.000432832
2,6-dimethylbenzenethiol	0.000435714	0.000561419	0.000497185	0.000761508	0.000649875	0.000756821	0.000426051	0.000499538	0.000437503	0.000635485	0.000600694	0.000440037	0.000498813	0.000627627	0.000680452	0.000843539	0.00072808	0.000648408	0.000655856	0.000319008	0.000536501	0.000368241	0.000755408	0.000649072	0.000617624	0.000594186	0.00055423	0.000690545	0.000457469	9.40446e-05	0.000101563	0.000218826	0.000298618	0.000589953	0.000413936	0.000539936	0.000580352	0.000476966	0.000492559	0.00067237	0.000501852	0.000468344	0.000385477	0.000454657	0.000584844	0.000524388	0.000602526	0.000521129	0.000401932	0.000544734	0.000678417	0.000401807	0.000272754	0.000510631	0.000493512	0.000697553	0.000401062	0.000568627	0.000618277	0.000519433	0.000527879	0.000416344	0.000586655	0.000699903	0.000535183	0.000519845	0.000473573	0.000537767	0.000663518	0.003455088	0.001488971	0.00113753	0.000659725	0.000407759	0.000603563	0.000545699	0.000471532	0.000998336	0.000477268	0.000634578	0.000536829	0.000264775	0.00064202	0.000315601	0.00050566	0.000491948	0.000647537	0.00046793	0.000679836	0.000566488	0.000768154	0.000349536	0.000680806	0.000304173	0.000399215
Cis-4-hydroxy-cyclohexylcarboxylate	0.000444857	0.00088563	0.000382711	0.001178952	0.176502739	0.00067442	0.112088754	0.000368692	0.001060319	0.000594715	0.353658334	0.001097188	0.172121738	0.000699463	0.000754306	0.415381395	0.216809531	0.000964692	9.83554e-05	0.110275857	0.00073647	0.137225078	0.001268898	0.000293065	0.001103517	0.000769862	0.000730536	0.000785458	0.000474133	0.00019741	0.000137942	9.03844e-05	7.12902e-05	0.00047792	0.000336234	0.000315993	5.71372e-05	0.001448296	0.000210554	0.017888697	0.000539205	0.000678135	0.000930419	0.000257737	0.000334996	0.000572541	0.000484575	0.000163758	0.000477544	0.000268231	0.000478333	0.632324278	0.002530953	0.000351957	0.000237944	0.097960647	0.000181231	0.000750897	0.000136045	0.000955921	0.000162882	0.000242597	0.00116671	0.002261711	0.000362964	0.000458839	0.000808272	0.00060231	0.000621212	0.038948564	0.000179039	0.001207855	0.01500935	0.00067392	0.000643291	0.00034232	0.001880187	0.000150687	0.000129419	0.002041146	0.000368633	0.000554961	0.00046452	0.000669931	0.000664405	0.000705635	0.000244163	0.000410367	0.046520713	0.000649452	0.000392633	0.003646414	0.000209197	0.00357902	0.000432832
Maleic acid	0.000450312	0.000614924	0.000598548	0.001357278	0.00226339	0.002573526	0.000515552	0.000612531	0.001052574	0.000633087	0.000911995	0.001757174	0.000756476	0.002080849	0.002048697	0.002319428	0.00155105	0.001913924	0.001532114	0.000419683	0.001333048	0.00114478	0.000949057	0.001145843	0.00139393	0.001178237	0.00135715	0.001449875	0.000964446	0.001658456	0.000891632	0.000866636	0.001133599	0.001305641	0.000795717	0.001062658	0.001128964	0.000890032	0.002811692	0.000782992	0.001071733	0.001411657	0.001158414	0.00094751	0.000822587	0.001348202	0.001664522	0.001671956	0.001288854	0.000635275	0.001113505	0.000561006	0.001404184	0.001246604	0.000776871	0.001900279	0.00346483	0.001573415	0.001815222	0.001711557	0.001209206	0.002091326	0.002576173	0.001050559	0.000777474	0.001209795	0.000807489	0.001490222	0.002436649	0.001326135	0.001779652	0.0015949	0.001467662	0.001801808	0.0007293	0.00145713	0.000764589	0.001752307	0.001139169	0.001077894	0.001598456	0.000961715	0.001581761	0.001181925	0.001887772	0.002120298	0.001371333	0.001540231	0.001289141	0.000958495	0.001360309	0.000752938	0.001678496	0.000775059	0.00171551
Digitoxose	0.000468486	0.000957214	0.000811213	0.00151558	0.001193414	0.002422642	0.000901633	0.001296876	0.000957167	0.00132065	0.001240361	0.001149418	0.001096604	0.001859429	0.001584146	0.001772078	0.001461887	0.00182184	0.001089653	0.000634855	0.000985801	0.001355635	0.0006517	0.001410088	0.000478574	0.000800693	0.001052898	0.000927545	0.000725651	0.000314484	0.000405473	0.000404156	0.000367119	0.000460834	0.00030209	0.000916867	0.000962109	0.001019718	0.000931804	0.000597923	0.000741401	0.00112276	0.000466296	0.000769407	0.000749551	0.000511749	0.00073031	0.000516988	0.000451248	0.000789723	0.000248762	0.000380916	0.000512461	0.000438694	0.000252654	0.001396616	0.000481171	0.000387799	0.000461581	0.000570037	0.000575714	0.000429429	0.000407551	0.000607542	0.000574608	0.000420875	0.000540103	0.000566854	0.001569069	0.001030098	0.004059853	0.001116424	0.000496181	0.00045312	0.000773118	0.000557906	0.00048731	0.002107849	0.000422823	0.000714694	0.00140194	0.001219686	0.001588495	0.001643126	0.00115818	0.001378585	0.001109237	0.00106215	0.000797116	0.000742577	0.000486252	0.000776098	0.002046247	0.000766181	0.001345328
