db_id
hmdb:HMDB0011564
hmdb:HMDB0013674
pubchem:NA
hmdb:HMDB0000014
hmdb:HMDB0000378
hmdb:HMDB0000873
hmdb:HMDB0002215
hmdb:HMDB0000897
hmdb:HMDB0000050
hmdb:HMDB0248144
hmdb:HMDB0000729
hmdb:HMDB0012325
hmdb:HMDB0002212
hmdb:HMDB0000168
hmdb:HMDB0000944
hmdb:HMDB0000030
hmdb:HMDB0002322
hmdb:HMDB0001964
hmdb:HMDB0002780
hmdb:HMDB0000904
hmdb:HMDB0013682
hmdb:HMDB0250701
hmdb:HMDB0002991
hmdb:HMDB0000089
hmdb:HMDB0000630
hmdb:HMDB0001313
pubchem:94168
hmdb:HMDB0000623
hmdb:HMDB0011626
hmdb:HMDB0002649
hmdb:HMDB0000152
hmdb:HMDB0000125
hmdb:HMDB0000128
pubchem:6857369
hmdb:HMDB0002434
hmdb:HMDB0000684
hmdb:HMDB0000078
hmdb:HMDB0001251
hmdb:HMDB0000213
hmdb:HMDB0000766
hmdb:METPA0292
hmdb:HMDB0000824
hmdb:HMDB0001414
hmdb:HMDB0000250
hmdb:HMDB0004230
hmdb:HMDB0003072
hmdb:HMDB0001520
hmdb:HMDB0000259
hmdb:HMDB0034282
hmdb:HMDB0002003
hmdb:HMDB0000273
hmdb:HMDB0000248
hmdb:HMDB0014447
hmdb:HMDB0013316
hmdb:HMDB0000925
hmdb:HMDB0000303
hmdb:HMDB0000026
hmdb:HMDB0000296
