Sample	Ctrl1	Ctrl2	Ctrl3	Ctrl4	Ctrl5	STEMIT1-1	STEMIT1-2	STEMIT1-3	STEMIT1-4	STEMIT1-5	STEMIT1-6	STEMIT1-7	STEMIT1-8	STEMIT1-9	STEMIT1-10	STEMIT2-1	STEMIT2-2	STEMIT2-3	STEMIT2-4	STEMIT2-5	STEMIT2-6	STEMIT2-7	STEMIT2-8	STEMIT2-9	STEMIT2-10
Label	Ctrl	Ctrl	Ctrl	Ctrl	Ctrl	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2
N6-Acetyl-L-lysine	4695.086321	4101.625047	3746.806353	5276.539361	4866.40342	4709.684266	2697.644384	4860.969757	7326.432072	5215.394943	5487.323776	2662.919946	8479.345675	11086.66717	7817.447989	6971.726754	4630.672221	3229.55297	5130.784029	3629.346014	2796.090655	0	3491.478245	3329.159057	6040.20749
Acetylcarnitine	386287.1217	477476.521	222261.5024	311774.7645	176884.4739	613790.435	399122.2192	267618.9601	333469.6966	422858.7938	315600.0687	185640.3482	958726.1747	886482.7958	252278.2479	163390.9581	125923.032	252497.0109	94673.82158	226326.9948	251705.646	191907.5585	152464.4264	266769.1782	396246.2061
L-Tryptophan	740406.8178	766274.3146	646653.2798	784649.3979	981479.4597	365248.9097	398604.5153	238519.2363	367110.2674	565597.8634	667458.1912	507193.6805	527633.2528	543173.5235	792299.3486	642990.0303	768486.0228	610426.0341	820217.5886	517976.8567	388988.4014	952086.4484	515750.3737	443828.2589	760605.625
L-Kynurenine	15098.6287	17592.72396	11616.56792	12361.16116	15016.15216	31951.21596	9060.760708	4786.622187	6576.723876	17408.59408	11726.78724	7699.471183	15316.89662	9529.925473	17106.92277	43320.09195	20237.12181	12619.25058	17837.51328	12883.22218	9745.899317	17021.73665	11922.42951	9986.352568	23663.27587
Propionyl-L-carnitine	24499.92761	37084.59448	20120.5733	22987.55767	21827.97762	136162.389	14728.86127	12220.61846	27253.71384	28427.4294	23664.27742	30008.31957	22245.83753	79538.41375	17219.41544	11575.06138	22353.79611	18065.17037	23270.2339	20684.42467	13476.88599	47740.12853	12730.24375	21092.0874	27380.1875
Butyrylcarnitine	47136.35538	57531.2397	16107.71727	44960.08642	26539.20868	275818.5936	28221.82999	14300.15209	29478.31635	45503.39101	42154.15622	33095.25149	28462.81998	51413.98998	25722.88907	49906.09597	68803.98293	32818.78322	47441.9289	56061.91191	17770.53318	55591.46039	37065.65214	63656.70582	67091.39844
Valeryl-L-carnitine	25849.72158	54152.04091	28211.64396	33779.82794	26797.42487	152792.6343	10918.6563	6205.140226	15859.81089	17852.57912	34849.2207	17448.91792	13072.05575	26377.0117	10800.30855	21450.75329	27880.36898	25151.70471	45380.09336	26588.10634	40014.32755	28755.03916	20251.20934	12427.36547	44793.57869
Glycerophosphocholine	140132.5056	100413.3895	58108.48851	106080.6529	206508.8767	10768.66712	74716.97342	60009.50805	123414.0315	127814.8996	105859.2603	49003.61848	86132.04065	53797.38511	160887.3072	119178.3596	218328.5527	74032.98778	268354.2868	160558.1302	43960.24945	140050.6917	89161.67204	45196.15656	81803.95102
Hexanoylcarnitine	33675.095	25201.96648	8921.941379	14539.93468	15168.51386	133226.0626	27618.8078	10559.58144	32549.96911	17995.62714	20068.52644	8533.353936	36457.95324	23918.92639	20571.58169	0	13123.45239	12115.42272	11948.15529	9170.567782	20539.08847	9930.885323	8260.278023	9393.8917	25209.02148
Gamma-glutamylleucine	13013.44973	18288.51689	12348.5312	12143.79927	16976.0217	11670.07106	5852.265101	4884.617979	10582.68023	7783.357209	25381.14572	8652.156676	7437.96365	4868.756504	4919.66754	9608.950631	7732.828369	9735.958092	10727.79887	10521.0003	8163.386938	18861.07436	7395.973257	5002.858379	8550.524457
Heptanoyl-L-carnitine	0	0	777.0401713	1603.114612	1359.493334	0	0	736.9549743	1094.538884	1098.093742	1313.013813	915.0044058	0	1180.09198	1395.952266	1458.478866	1250.086287	684.6607555	1296.641214	0	0	1421.749871	682.9119391	945.3678139	1149.315186
1-Methyladenosine	8862.574192	10126.78908	5313.533189	7956.763978	7389.085951	7830.464188	5505.735252	3112.750313	7501.786692	5105.081428	8079.774391	4362.911645	5387.829143	6355.630233	6697.904175	11369.48059	7939.408668	4246.020982	7761.301906	4408.252278	6707.414861	8857.17177	4983.473617	6520.143238	9621.950681
