Sample	Ctrl1	Ctrl2	Ctrl3	Ctrl4	Ctrl5	STEMIT1-1	STEMIT1-2	STEMIT1-3	STEMIT1-4	STEMIT1-5	STEMIT1-6	STEMIT1-7	STEMIT1-8	STEMIT1-9	STEMIT1-10	STEMIT2-1	STEMIT2-2	STEMIT2-3	STEMIT2-4	STEMIT2-5	STEMIT2-6	STEMIT2-7	STEMIT2-8	STEMIT2-9	STEMIT2-10
Label	Ctrl	Ctrl	Ctrl	Ctrl	Ctrl	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT1	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2	STEMIT2
Normetanephrine	0	0	0	0	0	0	0	0	0	0	0	0	0	1962.330052	0	0	0	0	0	0	0	0	0	0	0
Pyruvic acid 	0	7894.192208	7552.621023	8018.374397	5660.228894	2279.259524	4829.09428	5003.067069	5934.493787	19144.18365	7103.397232	5804.992567	10846.55833	9969.821289	0	7285.253997	9014.827124	5990.742443	34312.6982	8575.321884	5595.508694	9027.91447	6543.765159	8227.423791	19198.35052
Lactate 	156271.773	245936.6653	161284.8084	206844.477	138899.0806	308319.5396	437847.5893	282414.0967	382199.8677	509711.6722	267694.3258	143584.9741	357925.7093	423016.4186	275007.3222	440252.0653	450017.7517	341856.3029	581982.1681	495835.6006	170063.4287	221998.9593	332977.1688	269476.8393	313431.5965
2-Hydroxybutyric acid 	15401.22299	25675.40178	18231.82061	22330.35528	15184.88979	50170.68757	31020.053	14695.27931	30680.04535	25629.83425	21961.09095	17950.8908	0	0	19383.06938	14468.06188	10775.46277	14960.04436	10564.47228	13300.00291	13470.77148	19947.10215	7598.251623	22779.33611	16590.95545
Levulinic acid 	4155.224602	5263.946707	3272.981302	4358.40253	3833.818426	3874.001784	4934.109284	2916.543287	4902.339674	2851.431902	4598.916793	3837.417577	3475.677247	3987.686035	1686.788628	3970.543806	2970.106952	3911.289139	4759.915187	2822.658249	3886.31504	5096.17371	2707.002876	3806.169596	3891.561562
Succinate 	2117.400738	2443.894587	1496.037123	1601.39497	2833.618059	4269.014396	2345.729592	1779.96456	1624.281641	4736.519684	2416.452986	926.2365389	3133.546302	11866.49967	2309.046583	1614.249733	2194.031064	1977.709043	3514.720769	2258.079476	1245.820474	1722.348407	1627.275286	1396.317715	1630.7899
2-Hydroxy-2-methylbutyric acid 	25504.8995	16850.76496	11573.97114	12081.31213	6358.36822	22111.0453	15557.56002	7407.633397	11349.94677	15525.07538	31680.61057	11907.80752	12646.78208	14504.07507	6390.098104	8871.848879	14479.1017	7321.278567	11846.29076	10953.96615	25712.42555	11925.81368	7425.055222	13306.80191	5178.064694
Pyrrolidonecarboxylic acid 	13238.93786	18271.3581	13002.62751	16604.92383	16610.545	17065.64744	20716.73245	29446.12827	25645.46307	53746.85768	25010.88158	11646.92789	29577.5603	38162.19922	20387.65353	28556.40176	27666.04275	21004.45113	43594.11209	40010.6295	14281.77661	14632.86479	20158.31143	10207.68385	21216.52013
Ketoleucine 	38360.13907	38981.81851	37411.43481	37333.78536	25013.54144	31635.10065	22425.39556	10226.32783	26595.73909	19250.53856	28820.05999	35435.13726	27541.69722	23158.18687	14295.33654	26707.30372	15540.58514	30569.90117	33588.94096	25581.80417	28071.16746	41559.37586	22425.08504	20285.08642	25957.55811
Malic Acid 	1441.78183	1528.435974	0	1485.370587	1193.141016	1631.95832	2179.45647	2139.336011	2283.968525	4445.113148	1534.264821	782.3252667	1769.581176	3371.857666	1091.482329	1815.560724	1583.97675	0	2728.33417	2817.207526	1204.003709	0	975.5830139	0	1516.121895
L-3-Phenyllactic acid	1711.419219	0	0	0	0	3731.853183	1203.657873	0	1475.138461	1867.796349	1161.51523	864.4326482	847.6882808	0	771.8610251	0	0	0	0	5882.178047	901.169871	4280.750037	1212.975404	0	0
Ascorbic Acid 	0	0	0	0	0	0	0	1013.474586	1720.768807	9649.675537	0	0	1262.242851	0	0	0	0	0	7845.389394	0	0	0	0	0	0
D-Mannose	4174.564048	6494.919011	4165.576744	6765.608634	3186.400466	6088.799632	7969.22267	1513.079502	0	0	4158.36226	2549.056784	3597.852875	2276.348145	2240.830661	2919.821616	0	2724.976039	0	0	2393.610132	4288.834622	1973.465566	3360.455437	3884.642813
Hydroxyphenyllactic acid 	2761.021029	3928.280014	3611.913628	2369.978472	0	12154.98407	1065.717388	911.9983232	2337.911034	2935.252305	2681.860857	2281.02957	2404.4336	2135.986656	1637.110952	4828.226755	2101.438333	0	2551.048057	3703.939851	3479.459715	2884.905901	2797.370394	2188.305232	2412.14881
Azelaic acid 	1857.966075	1905.679142	2941.762823	3750.049862	2377.223922	1296.512392	1984.321355	1093.290428	1601.791414	2061.350784	2187.752178	1300.823767	1899.798372	1494.78198	1480.400483	2001.837581	2821.617266	2135.788222	2763.233804	2208.317192	1233.27476	1644.701449	2530.52729	1771.031176	2250.048261
citric acid 	58302.06513	67035.35004	57548.10072	74450.61267	51101.06653	40521.40483	62079.95334	51997.17953	63295.95626	60857.38955	58690.51415	39805.38053	62620.98271	52644.36328	30764.34395	87736.8388	50525.97369	44931.07477	46604.43969	50697.76002	76517.5465	64365.69383	53618.70542	28026.10917	56544.24324
Indolelactic acid 	3032.068309	4337.320179	3133.752998	2330.716465	0	7337.629929	1442.923403	1323.887643	1132.242576	1806.375675	2621.250096	1593.892196	3047.56348	2044.684338	1935.229804	3737.319406	2167.716595	1869.116293	3084.112455	2471.630798	1758.080066	2977.690475	2706.043164	1598.810662	2817.440274
Pregnenolone sulfate 	950.3214215	0	0	0	0	5636.314731	2591.151181	1471.201744	2431.701337	0	0	0	1578.272899	1768.187348	0	0	0	0	2027.042626	0	0	0	619.222255	0	0
Cholic Acid 	0	1487.665081	0	0	3155.746353	0	0	0	0	1344.641741	0	0	0	0	0	0	0	0	0	0	1461.384874	0	0	0	6106.695987
Pyruvaldehyde 	0	0	0	0	0	848.5746369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Succinic acid semialdehyde 	0	0	0	0	0	1116.943466	0	576.8772187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2-Oxoglutarate 	0	0	0	0	0	1333.645561	0	1042.884	1540.110393	0	1658.429898	897.4137619	0	1601.653419	0	1996.037995	1485.10192	0	2240.844493	2159.578721	0	1326.434728	0	0	1823.379349
Pimelic acid	0	0	0	0	0	885.7506293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Galacturonic acid	0	0	0	0	0	2737.564841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Taurocholate 	0	0	0	1971.633665	0	1089.781115	0	0	0	0	2700.303084	0	0	2106.318359	0	3875.513455	1842.110585	0	0	0	0	0	0	0	0
2-Ethyl-2-Hydroxybutyric acid 	0	0	0	0	0	0	0	0	0	0	0	0	1490.13303	0	0	0	0	0	0	0	0	0	1082.708224	0	0
Ortho-Hydroxyphenylacetic acid 	0	0	0	0	0	0	0	1154.981642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Salicyluric acid 	0	0	0	0	0	0	0	4060.726176	0	2731.434092	7832.45122	2056.820952	2318.911571	4606.041992	0	3151.458228	0	5823.243766	2440.347424	4853.885773	0	4315.408186	7524.376323	2337.360729	0
inosine-5'-monophosphate	0	0	0	0	0	0	0	3994.634745	2647.46541	3634.499469	0	0	10710.12227	22401.05939	4721.558074	0	0	0	1652.84268	0	0	0	0	0	0
Uridine 	0	0	0	0	1501.444463	0	0	945.7105975	1092.929448	0	0	0	0	0	0	0	0	0	1515.414302	0	0	0	0	0	0
Acetoacetic acid	0	1122.196773	1481.283616	1145.88319	0	0	0	0	0	0	0	877.0067573	0	0	0	0	0	0	0	0	0	0	0	0	0
Itaconic acid 	0	0	0	0	0	0	0	0	0	0	0	1575.78031	0	0	0	0	0	0	0	0	0	0	0	0	0
Deoxycholic acid 	2048.713749	1807.596876	2997.757575	1254.138599	3912.386743	0	0	0	1409.992062	3395.504572	0	3177.140658	0	0	1860.018099	0	1470.990315	2143.342601	0	2323.27664	0	3834.126813	2704.285831	0	7639.21839
Sebacic acid 	0	0	0	1702.837023	0	0	0	0	0	0	0	0	1083.449779	0	0	0	0	0	0	0	0	0	0	0	0
Hydroxyoctanoic acid 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1076.432322	0	0
Glycerone phosphate 	820.5888748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	871.8462921	0	0	0	0	0	0	0	0
3-Hydroxybutyric acid	0	0	0	0	0	0	0	0	0	0	0	0	80347.52907	56728.81574	0	0	0	0	0	0	0	0	0	0	0
Suberic acid 	0	0	0	0	0	0	0	0	0	0	0	0	765.1469272	0	0	0	0	0	0	0	0	0	0	0	0
Dodecanedioic acid 	0	0	0	0	0	0	0	0	0	0	0	0	1292.247045	0	0	0	0	0	0	0	0	0	0	0	0
N-Acetyl-L-methionine 	0	0	0	0	0	0	0	0	0	0	0	0	0	749.5846057	0	0	0	0	0	0	0	0	0	0	0
Bradykinin 	0	0	1031.264681	0	1567.254903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
